appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
3,Brandt (2013),original,Age: 40 - 59,-0.37,0.14,0.01,-0.65,-0.09,271,0.22
3,Brandt (2013),original,Age: More than 60,-0.47,0.17,0.01,-0.81,-0.12,201,0.16
3,Brandt (2013),original,Party ID: Democrat,-0.53,0.14,0.00,-0.81,-0.26,324,0.26
3,Brandt (2013),original,Party ID: Independent,0.49,0.54,0.38,-0.63,1.60,26,0.02
3,Brandt (2013),original,Party ID: Republican,-0.33,0.15,0.04,-0.63,-0.02,275,0.22
3,Brandt (2013),original,Race: White,-0.41,0.11,0.00,-0.63,-0.19,464,0.37
3,Brandt (2013),original,Race: Nonwhite,-0.38,0.20,0.05,-0.78,0.01,161,0.13
3,Brandt (2013),original,Education: Less than College,-0.43,0.12,0.00,-0.66,-0.19,450,0.36
3,Brandt (2013),original,Education: College,-0.60,0.23,0.01,-1.05,-0.14,110,0.09
3,Brandt (2013),original,Education: Graduate School,0.15,0.30,0.61,-0.45,0.75,65,0.05
3,Brandt (2013),original,Gender: Male,-0.30,0.16,0.05,-0.61,0.00,311,0.25
3,Brandt (2013),original,Gender: Female,-0.49,0.13,0.00,-0.74,-0.24,314,0.25
3,Brandt (2013),mt,Age: 18 - 39,-0.79,0.06,0.00,-0.89,-0.68,1210,0.38
3,Brandt (2013),mt,Age: 40 - 59,-0.80,0.10,0.00,-0.99,-0.60,310,0.10
3,Brandt (2013),mt,Age: More than 60,-0.51,0.25,0.04,-1.01,-0.02,52,0.02
3,Brandt (2013),mt,Party ID: Democrat,-0.77,0.06,0.00,-0.89,-0.65,1029,0.33
3,Brandt (2013),mt,Party ID: Independent,-0.72,0.14,0.00,-1.00,-0.45,176,0.06
3,Brandt (2013),mt,Party ID: Republican,-0.78,0.10,0.00,-0.97,-0.59,367,0.12
3,Brandt (2013),mt,Race: White,-0.81,0.05,0.00,-0.91,-0.71,1225,0.39
3,Brandt (2013),mt,Race: Nonwhite,-0.66,0.11,0.00,-0.89,-0.44,347,0.11
3,Brandt (2013),mt,Education: Less than College,-0.81,0.07,0.00,-0.94,-0.68,831,0.26
3,Brandt (2013),mt,Education: College,-0.78,0.08,0.00,-0.93,-0.62,586,0.19
3,Brandt (2013),mt,Education: Graduate School,-0.58,0.15,0.00,-0.88,-0.28,155,0.05
