appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
10,Gash and Murakami (2009),original,Education: Graduate School,-0.10,0.36,0.79,-0.81,0.62,53,0.05
10,Gash and Murakami (2009),original,Gender: Male,-0.64,0.16,0.00,-0.95,-0.32,258,0.26
10,Gash and Murakami (2009),original,Gender: Female,-0.74,0.17,0.00,-1.08,-0.40,238,0.24
10,Gash and Murakami (2009),original,Ideology: Liberal,-0.62,0.24,0.01,-1.08,-0.15,133,0.13
10,Gash and Murakami (2009),original,Ideology: Moderate,-0.86,0.19,0.00,-1.22,-0.49,185,0.19
10,Gash and Murakami (2009),original,Ideology: Conservative,-0.57,0.20,0.00,-0.97,-0.18,178,0.18
10,Gash and Murakami (2009),mt,Age: 18 - 39,-0.71,0.06,0.00,-0.83,-0.60,1152,0.38
10,Gash and Murakami (2009),mt,Age: 40 - 59,-0.50,0.12,0.00,-0.75,-0.26,312,0.10
10,Gash and Murakami (2009),mt,Age: More than 60,-0.70,0.26,0.01,-1.22,-0.18,55,0.02
10,Gash and Murakami (2009),mt,Party ID: Democrat,-0.65,0.07,0.00,-0.78,-0.52,964,0.32
10,Gash and Murakami (2009),mt,Party ID: Independent,-1.03,0.16,0.00,-1.35,-0.72,167,0.05
10,Gash and Murakami (2009),mt,Party ID: Republican,-0.61,0.10,0.00,-0.81,-0.40,388,0.13
10,Gash and Murakami (2009),mt,Race: White,-0.69,0.06,0.00,-0.81,-0.57,1154,0.38
10,Gash and Murakami (2009),mt,Race: Nonwhite,-0.63,0.11,0.00,-0.83,-0.42,365,0.12
10,Gash and Murakami (2009),mt,Education: Less than College,-0.75,0.07,0.00,-0.90,-0.61,790,0.26
10,Gash and Murakami (2009),mt,Education: College,-0.62,0.09,0.00,-0.79,-0.45,564,0.19
10,Gash and Murakami (2009),mt,Education: Graduate School,-0.42,0.17,0.01,-0.75,-0.09,165,0.05
10,Gash and Murakami (2009),mt,Gender: Male,-0.72,0.07,0.00,-0.87,-0.58,748,0.25
10,Gash and Murakami (2009),mt,Gender: Female,-0.63,0.08,0.00,-0.78,-0.48,771,0.25
10,Gash and Murakami (2009),mt,Ideology: Liberal,-0.72,0.07,0.00,-0.86,-0.58,879,0.29
10,Gash and Murakami (2009),mt,Ideology: Moderate,-0.64,0.12,0.00,-0.86,-0.41,296,0.10
10,Gash and Murakami (2009),mt,Ideology: Conservative,-0.64,0.11,0.00,-0.86,-0.43,344,0.11
11,Hiscox (2006),original,Age: 18 - 39,0.36,0.09,0.00,0.17,0.54,545,0.07
11,Hiscox (2006),original,Age: 40 - 59,0.14,0.09,0.13,-0.04,0.32,648,0.08
11,Hiscox (2006),original,Age: More than 60,0.21,0.12,0.06,-0.01,0.44,408,0.05
11,Hiscox (2006),original,Party ID: Democrat,0.17,0.09,0.06,-0.00,0.34,697,0.09
11,Hiscox (2006),original,Party ID: Independent,0.32,0.14,0.02,0.06,0.59,286,0.04
11,Hiscox (2006),original,Party ID: Republican,0.27,0.09,0.00,0.09,0.44,618,0.08
11,Hiscox (2006),original,Race: White,0.26,0.07,0.00,0.14,0.39,1198,0.15
11,Hiscox (2006),original,Race: Nonwhite,0.13,0.12,0.29,-0.11,0.36,406,0.05
11,Hiscox (2006),original,Education: Less than College,0.25,0.07,0.00,0.11,0.40,1049,0.13
11,Hiscox (2006),original,Education: College,0.27,0.11,0.01,0.06,0.48,348,0.04
11,Hiscox (2006),original,Education: Graduate School,-0.03,0.15,0.84,-0.33,0.27,204,0.03
11,Hiscox (2006),original,Gender: Male,0.13,0.09,0.14,-0.04,0.30,672,0.08
11,Hiscox (2006),original,Gender: Female,0.30,0.08,0.00,0.15,0.45,932,0.12
11,Hiscox (2006),original,Ideology: Liberal,0.21,0.13,0.12,-0.06,0.47,257,0.03
11,Hiscox (2006),original,Ideology: Moderate,0.28,0.08,0.00,0.13,0.43,918,0.11
11,Hiscox (2006),original,Ideology: Conservative,0.13,0.11,0.25,-0.09,0.35,426,0.05
11,Hiscox (2006),mt,Age: 18 - 39,0.27,0.04,0.00,0.19,0.34,1875,0.13
11,Hiscox (2006),mt,Age: 40 - 59,0.25,0.06,0.00,0.13,0.37,850,0.06
11,Hiscox (2006),mt,Age: More than 60,0.19,0.11,0.10,-0.04,0.41,238,0.02
11,Hiscox (2006),mt,Party ID: Democrat,0.22,0.04,0.00,0.15,0.30,1767,0.12
11,Hiscox (2006),mt,Party ID: Independent,0.33,0.08,0.00,0.17,0.50,426,0.03
11,Hiscox (2006),mt,Party ID: Republican,0.30,0.07,0.00,0.17,0.42,770,0.05
11,Hiscox (2006),mt,Race: White,0.27,0.04,0.00,0.20,0.34,2259,0.15
11,Hiscox (2006),mt,Race: Nonwhite,0.21,0.06,0.00,0.10,0.32,707,0.05
11,Hiscox (2006),mt,Education: Less than College,0.29,0.04,0.00,0.20,0.38,1531,0.10
11,Hiscox (2006),mt,Education: College,0.22,0.05,0.00,0.12,0.32,1066,0.07
11,Hiscox (2006),mt,Education: Graduate School,0.20,0.08,0.01,0.05,0.35,366,0.02
11,Hiscox (2006),mt,Gender: Male,0.21,0.04,0.00,0.13,0.29,1431,0.10
11,Hiscox (2006),mt,Gender: Female,0.30,0.05,0.00,0.21,0.39,1535,0.10
11,Hiscox (2006),mt,Ideology: Liberal,0.21,0.04,0.00,0.13,0.30,1406,0.09
11,Hiscox (2006),mt,Ideology: Moderate,0.28,0.06,0.00,0.17,0.39,957,0.06
11,Hiscox (2006),mt,Ideology: Conservative,0.32,0.07,0.00,0.17,0.46,600,0.04
12,Hopkins and Mummolo (2017),original,Age: 18 - 39,-0.19,0.08,0.01,-0.33,-0.04,928,0.14
12,Hopkins and Mummolo (2017),original,Age: 40 - 59,-0.16,0.07,0.03,-0.30,-0.02,1323,0.20
12,Hopkins and Mummolo (2017),original,Age: More than 60,-0.14,0.08,0.09,-0.30,0.02,1015,0.16
12,Hopkins and Mummolo (2017),original,Party ID: Democrat,-0.21,0.06,0.00,-0.32,-0.10,1678,0.26
12,Hopkins and Mummolo (2017),original,Party ID: Independent,-0.13,0.22,0.56,-0.57,0.31,80,0.01
12,Hopkins and Mummolo (2017),original,Party ID: Republican,-0.08,0.07,0.27,-0.22,0.06,1508,0.23
12,Hopkins and Mummolo (2017),original,Race: White,-0.16,0.05,0.00,-0.27,-0.06,2478,0.38
12,Hopkins and Mummolo (2017),original,Race: Nonwhite,-0.16,0.08,0.05,-0.31,0.00,788,0.12
12,Hopkins and Mummolo (2017),original,Education: Less than College,-0.21,0.05,0.00,-0.31,-0.10,2154,0.33
12,Hopkins and Mummolo (2017),original,Education: College,0.01,0.10,0.91,-0.19,0.21,638,0.10
12,Hopkins and Mummolo (2017),original,Education: Graduate School,-0.14,0.13,0.26,-0.39,0.11,474,0.07
12,Hopkins and Mummolo (2017),original,Gender: Male,-0.20,0.06,0.00,-0.32,-0.07,1725,0.26
12,Hopkins and Mummolo (2017),original,Gender: Female,-0.12,0.06,0.04,-0.25,-0.00,1541,0.24
12,Hopkins and Mummolo (2017),original,Ideology: Liberal,-0.09,0.08,0.25,-0.24,0.06,854,0.13
12,Hopkins and Mummolo (2017),original,Ideology: Moderate,-0.22,0.07,0.00,-0.36,-0.09,1155,0.18
12,Hopkins and Mummolo (2017),original,Ideology: Conservative,-0.14,0.08,0.07,-0.30,0.01,1257,0.19
12,Hopkins and Mummolo (2017),mt,Age: 18 - 39,-0.18,0.05,0.00,-0.27,-0.09,1878,0.32
12,Hopkins and Mummolo (2017),mt,Age: 40 - 59,-0.25,0.07,0.00,-0.39,-0.10,853,0.14
12,Hopkins and Mummolo (2017),mt,Age: More than 60,-0.36,0.15,0.02,-0.66,-0.06,241,0.04
12,Hopkins and Mummolo (2017),mt,Party ID: Democrat,-0.16,0.04,0.00,-0.25,-0.08,1770,0.30
12,Hopkins and Mummolo (2017),mt,Party ID: Independent,-0.33,0.11,0.00,-0.56,-0.11,429,0.07
12,Hopkins and Mummolo (2017),mt,Party ID: Republican,-0.20,0.08,0.01,-0.36,-0.05,773,0.13
12,Hopkins and Mummolo (2017),mt,Race: White,-0.21,0.04,0.00,-0.30,-0.12,2262,0.38
12,Hopkins and Mummolo (2017),mt,Race: Nonwhite,-0.23,0.07,0.00,-0.38,-0.08,710,0.12
12,Hopkins and Mummolo (2017),mt,Education: Less than College,-0.16,0.05,0.00,-0.27,-0.05,1534,0.26
12,Hopkins and Mummolo (2017),mt,Education: College,-0.27,0.06,0.00,-0.39,-0.15,1069,0.18
12,Hopkins and Mummolo (2017),mt,Education: Graduate School,-0.27,0.10,0.01,-0.47,-0.08,369,0.06
12,Hopkins and Mummolo (2017),mt,Gender: Male,-0.23,0.06,0.00,-0.34,-0.11,1434,0.24
12,Hopkins and Mummolo (2017),mt,Gender: Female,-0.21,0.05,0.00,-0.30,-0.11,1538,0.26
12,Hopkins and Mummolo (2017),mt,Ideology: Liberal,-0.18,0.05,0.00,-0.27,-0.09,1409,0.24
12,Hopkins and Mummolo (2017),mt,Ideology: Moderate,-0.21,0.07,0.00,-0.34,-0.08,960,0.16
12,Hopkins and Mummolo (2017),mt,Ideology: Conservative,-0.26,0.10,0.01,-0.45,-0.07,603,0.10
13,"Jacobsen, Snyder and Saultz (2014)",original,Age: 18 - 39,0.43,0.17,0.01,0.09,0.76,187,0.17
13,"Jacobsen, Snyder and Saultz (2014)",original,Age: 40 - 59,0.47,0.14,0.00,0.19,0.76,201,0.19
13,"Jacobsen, Snyder and Saultz (2014)",original,Age: More than 60,0.87,0.19,0.00,0.49,1.25,154,0.14
13,"Jacobsen, Snyder and Saultz (2014)",original,Party ID: Democrat,0.57,0.14,0.00,0.30,0.84,293,0.27
13,"Jacobsen, Snyder and Saultz (2014)",original,Party ID: Independent,1.59,0.56,0.02,0.29,2.89,10,0.01
13,"Jacobsen, Snyder and Saultz (2014)",original,Party ID: Republican,0.43,0.14,0.00,0.17,0.70,239,0.22
13,"Jacobsen, Snyder and Saultz (2014)",original,Race: White,0.49,0.11,0.00,0.28,0.70,392,0.36
13,"Jacobsen, Snyder and Saultz (2014)",original,Race: Nonwhite,0.68,0.20,0.00,0.27,1.08,150,0.14
13,"Jacobsen, Snyder and Saultz (2014)",original,Education: Less than College,0.48,0.12,0.00,0.24,0.72,386,0.36
13,"Jacobsen, Snyder and Saultz (2014)",original,Education: College,0.51,0.19,0.01,0.14,0.89,95,0.09
13,"Jacobsen, Snyder and Saultz (2014)",original,Education: Graduate School,1.03,0.27,0.00,0.50,1.56,61,0.06
13,"Jacobsen, Snyder and Saultz (2014)",original,Gender: Male,0.42,0.14,0.00,0.14,0.69,271,0.25
13,"Jacobsen, Snyder and Saultz (2014)",original,Gender: Female,0.68,0.14,0.00,0.41,0.94,271,0.25
13,"Jacobsen, Snyder and Saultz (2014)",original,Ideology: Liberal,0.43,0.18,0.02,0.07,0.79,143,0.13
13,"Jacobsen, Snyder and Saultz (2014)",original,Ideology: Moderate,0.56,0.17,0.00,0.23,0.90,192,0.18
13,"Jacobsen, Snyder and Saultz (2014)",original,Ideology: Conservative,0.63,0.15,0.00,0.33,0.93,207,0.19
13,"Jacobsen, Snyder and Saultz (2014)",mt,Age: 18 - 39,0.47,0.05,0.00,0.36,0.58,750,0.38
13,"Jacobsen, Snyder and Saultz (2014)",mt,Age: 40 - 59,0.46,0.13,0.00,0.20,0.72,205,0.10
13,"Jacobsen, Snyder and Saultz (2014)",mt,Age: More than 60,0.55,0.34,0.12,-0.14,1.25,37,0.02
13,"Jacobsen, Snyder and Saultz (2014)",mt,Party ID: Democrat,0.49,0.06,0.00,0.37,0.60,659,0.33
13,"Jacobsen, Snyder and Saultz (2014)",mt,Party ID: Independent,0.25,0.17,0.16,-0.10,0.59,112,0.06
13,"Jacobsen, Snyder and Saultz (2014)",mt,Party ID: Republican,0.46,0.12,0.00,0.22,0.70,221,0.11
13,"Jacobsen, Snyder and Saultz (2014)",mt,Race: White,0.46,0.06,0.00,0.35,0.58,776,0.39
13,"Jacobsen, Snyder and Saultz (2014)",mt,Race: Nonwhite,0.43,0.11,0.00,0.21,0.65,216,0.11
13,"Jacobsen, Snyder and Saultz (2014)",mt,Education: Less than College,0.47,0.07,0.00,0.33,0.61,564,0.28
13,"Jacobsen, Snyder and Saultz (2014)",mt,Education: College,0.44,0.08,0.00,0.28,0.61,321,0.16
13,"Jacobsen, Snyder and Saultz (2014)",mt,Education: Graduate School,0.49,0.16,0.00,0.17,0.81,107,0.05
13,"Jacobsen, Snyder and Saultz (2014)",mt,Gender: Male,0.50,0.07,0.00,0.37,0.63,516,0.26
13,"Jacobsen, Snyder and Saultz (2014)",mt,Gender: Female,0.42,0.08,0.00,0.26,0.57,476,0.24
13,"Jacobsen, Snyder and Saultz (2014)",mt,Ideology: Liberal,0.52,0.06,0.00,0.39,0.64,558,0.28
13,"Jacobsen, Snyder and Saultz (2014)",mt,Ideology: Moderate,0.27,0.11,0.01,0.06,0.48,234,0.12
13,"Jacobsen, Snyder and Saultz (2014)",mt,Ideology: Conservative,0.51,0.13,0.00,0.25,0.77,200,0.10
14,Johnston and Ballard (2016),original,Age: 18 - 39,0.30,0.09,0.00,0.13,0.47,670,0.16
14,Johnston and Ballard (2016),original,Age: 40 - 59,0.22,0.07,0.00,0.08,0.36,769,0.19
14,Johnston and Ballard (2016),original,Age: More than 60,0.23,0.09,0.01,0.06,0.40,606,0.15
14,Johnston and Ballard (2016),original,Party ID: Democrat,0.23,0.07,0.00,0.10,0.37,1044,0.26
14,Johnston and Ballard (2016),original,Party ID: Independent,0.14,0.22,0.53,-0.30,0.57,89,0.02
14,Johnston and Ballard (2016),original,Party ID: Republican,0.28,0.07,0.00,0.15,0.42,912,0.22
14,Johnston and Ballard (2016),original,Race: White,0.24,0.05,0.00,0.14,0.34,1495,0.37
14,Johnston and Ballard (2016),original,Race: Nonwhite,0.27,0.10,0.00,0.09,0.46,550,0.13
14,Johnston and Ballard (2016),original,Education: Less than College,0.27,0.05,0.00,0.16,0.37,1363,0.33
14,Johnston and Ballard (2016),original,Education: College,0.29,0.11,0.01,0.07,0.51,397,0.10
14,Johnston and Ballard (2016),original,Education: Graduate School,0.09,0.15,0.54,-0.20,0.38,285,0.07
14,Johnston and Ballard (2016),original,Gender: Male,0.27,0.07,0.00,0.13,0.40,1013,0.25
14,Johnston and Ballard (2016),original,Gender: Female,0.24,0.06,0.00,0.11,0.36,1032,0.25
14,Johnston and Ballard (2016),original,Ideology: Liberal,0.30,0.10,0.00,0.12,0.49,551,0.13
14,Johnston and Ballard (2016),original,Ideology: Moderate,0.23,0.08,0.00,0.08,0.38,721,0.18
14,Johnston and Ballard (2016),original,Ideology: Conservative,0.23,0.07,0.00,0.08,0.37,773,0.19
14,Johnston and Ballard (2016),mt,Age: 18 - 39,0.42,0.02,0.00,0.38,0.46,11285,0.38
14,Johnston and Ballard (2016),mt,Age: 40 - 59,0.37,0.03,0.00,0.31,0.44,3135,0.11
14,Johnston and Ballard (2016),mt,Age: More than 60,0.29,0.09,0.00,0.11,0.46,505,0.02
14,Johnston and Ballard (2016),mt,Party ID: Democrat,0.41,0.02,0.00,0.37,0.45,9000,0.30
14,Johnston and Ballard (2016),mt,Party ID: Independent,0.34,0.04,0.00,0.26,0.42,2275,0.08
14,Johnston and Ballard (2016),mt,Party ID: Republican,0.42,0.03,0.00,0.36,0.49,3650,0.12
14,Johnston and Ballard (2016),mt,Race: White,0.40,0.02,0.00,0.36,0.43,11445,0.38
14,Johnston and Ballard (2016),mt,Race: Nonwhite,0.42,0.03,0.00,0.36,0.49,3480,0.12
14,Johnston and Ballard (2016),mt,Education: Less than College,0.41,0.02,0.00,0.37,0.46,7465,0.25
14,Johnston and Ballard (2016),mt,Education: College,0.39,0.03,0.00,0.34,0.44,5710,0.19
14,Johnston and Ballard (2016),mt,Education: Graduate School,0.40,0.05,0.00,0.31,0.49,1750,0.06
14,Johnston and Ballard (2016),mt,Gender: Male,0.37,0.02,0.00,0.32,0.41,7065,0.24
14,Johnston and Ballard (2016),mt,Gender: Female,0.44,0.02,0.00,0.40,0.49,7860,0.26
14,Johnston and Ballard (2016),mt,Ideology: Liberal,0.39,0.02,0.00,0.34,0.43,7000,0.23
14,Johnston and Ballard (2016),mt,Ideology: Moderate,0.40,0.03,0.00,0.35,0.46,4900,0.16
14,Johnston and Ballard (2016),mt,Ideology: Conservative,0.46,0.04,0.00,0.39,0.53,3025,0.10
15,Levendusky and Malhotra (2015),original,Age: 18 - 39,0.20,0.15,0.17,-0.09,0.49,345,0.16
15,Levendusky and Malhotra (2015),original,Age: 40 - 59,0.04,0.13,0.77,-0.21,0.29,397,0.19
15,Levendusky and Malhotra (2015),original,Age: More than 60,0.25,0.14,0.07,-0.02,0.53,311,0.15
15,Levendusky and Malhotra (2015),original,Party ID: Democrat,0.18,0.11,0.11,-0.04,0.40,469,0.22
15,Levendusky and Malhotra (2015),original,Party ID: Independent,0.20,0.27,0.45,-0.34,0.74,36,0.02
15,Levendusky and Malhotra (2015),original,Party ID: Republican,0.14,0.12,0.24,-0.09,0.36,548,0.26
15,Levendusky and Malhotra (2015),original,Race: White,0.18,0.09,0.03,0.02,0.35,777,0.37
15,Levendusky and Malhotra (2015),original,Race: Nonwhite,0.11,0.17,0.51,-0.22,0.44,276,0.13
15,Levendusky and Malhotra (2015),original,Education: Less than College,0.18,0.10,0.08,-0.02,0.38,700,0.33
15,Levendusky and Malhotra (2015),original,Education: College,0.14,0.16,0.37,-0.17,0.45,225,0.11
15,Levendusky and Malhotra (2015),original,Education: Graduate School,0.07,0.21,0.75,-0.35,0.49,128,0.06
15,Levendusky and Malhotra (2015),original,Gender: Male,0.14,0.12,0.22,-0.09,0.38,548,0.26
15,Levendusky and Malhotra (2015),original,Gender: Female,0.18,0.11,0.11,-0.04,0.39,505,0.24
15,Levendusky and Malhotra (2015),original,Ideology: Liberal,0.07,0.14,0.61,-0.20,0.33,318,0.15
15,Levendusky and Malhotra (2015),original,Ideology: Moderate,0.40,0.15,0.01,0.11,0.70,348,0.17
15,Levendusky and Malhotra (2015),original,Ideology: Conservative,-0.00,0.13,1.00,-0.26,0.26,387,0.18
15,Levendusky and Malhotra (2015),mt,Age: 18 - 39,0.34,0.07,0.00,0.21,0.47,1254,0.32
15,Levendusky and Malhotra (2015),mt,Age: 40 - 59,0.45,0.09,0.00,0.27,0.62,576,0.14
15,Levendusky and Malhotra (2015),mt,Age: More than 60,0.13,0.17,0.45,-0.20,0.45,157,0.04
15,Levendusky and Malhotra (2015),mt,Party ID: Democrat,0.41,0.06,0.00,0.29,0.53,1189,0.30
15,Levendusky and Malhotra (2015),mt,Party ID: Independent,0.22,0.14,0.12,-0.06,0.50,288,0.07
15,Levendusky and Malhotra (2015),mt,Party ID: Republican,0.33,0.11,0.00,0.12,0.54,510,0.13
15,Levendusky and Malhotra (2015),mt,Race: White,0.35,0.06,0.00,0.24,0.46,1513,0.38
15,Levendusky and Malhotra (2015),mt,Race: Nonwhite,0.40,0.11,0.00,0.18,0.62,474,0.12
15,Levendusky and Malhotra (2015),mt,Education: Less than College,0.35,0.07,0.00,0.21,0.49,1039,0.26
15,Levendusky and Malhotra (2015),mt,Education: College,0.36,0.09,0.00,0.19,0.52,698,0.18
15,Levendusky and Malhotra (2015),mt,Education: Graduate School,0.47,0.13,0.00,0.22,0.72,250,0.06
15,Levendusky and Malhotra (2015),mt,Gender: Male,0.30,0.07,0.00,0.16,0.44,966,0.24
15,Levendusky and Malhotra (2015),mt,Gender: Female,0.42,0.07,0.00,0.28,0.56,1021,0.26
15,Levendusky and Malhotra (2015),mt,Ideology: Liberal,0.48,0.07,0.00,0.34,0.61,947,0.24
15,Levendusky and Malhotra (2015),mt,Ideology: Moderate,0.34,0.09,0.00,0.15,0.52,642,0.16
15,Levendusky and Malhotra (2015),mt,Ideology: Conservative,0.13,0.12,0.25,-0.10,0.37,398,0.10
16,"McGinty, Webster and Barry (2013)",original,Age: 18 - 39,0.08,0.08,0.35,-0.08,0.23,796,0.07
16,"McGinty, Webster and Barry (2013)",original,Age: 40 - 59,0.14,0.07,0.04,0.01,0.28,1170,0.10
16,"McGinty, Webster and Barry (2013)",original,Age: More than 60,0.13,0.08,0.11,-0.03,0.29,963,0.08
16,"McGinty, Webster and Barry (2013)",original,Party ID: Democrat,0.09,0.06,0.13,-0.03,0.21,1510,0.13
16,"McGinty, Webster and Barry (2013)",original,Party ID: Independent,0.07,0.20,0.70,-0.31,0.46,91,0.01
16,"McGinty, Webster and Barry (2013)",original,Party ID: Republican,0.14,0.07,0.03,0.01,0.28,1328,0.11
16,"McGinty, Webster and Barry (2013)",original,Race: White,0.15,0.05,0.00,0.05,0.25,2226,0.19
16,"McGinty, Webster and Barry (2013)",original,Race: Nonwhite,0.04,0.09,0.61,-0.13,0.22,705,0.06
16,"McGinty, Webster and Barry (2013)",original,Education: Less than College,0.16,0.05,0.00,0.05,0.27,1952,0.17
16,"McGinty, Webster and Barry (2013)",original,Education: College,-0.01,0.10,0.90,-0.20,0.18,574,0.05
16,"McGinty, Webster and Barry (2013)",original,Education: Graduate School,0.02,0.12,0.84,-0.22,0.27,403,0.03
16,"McGinty, Webster and Barry (2013)",original,Gender: Male,0.09,0.06,0.17,-0.04,0.21,1457,0.12
16,"McGinty, Webster and Barry (2013)",original,Gender: Female,0.14,0.06,0.02,0.02,0.26,1474,0.13
16,"McGinty, Webster and Barry (2013)",original,Ideology: Liberal,-0.03,0.09,0.71,-0.20,0.14,836,0.07
16,"McGinty, Webster and Barry (2013)",original,Ideology: Moderate,0.27,0.07,0.00,0.13,0.41,1008,0.09
16,"McGinty, Webster and Barry (2013)",original,Ideology: Conservative,0.06,0.07,0.38,-0.08,0.21,1085,0.09
16,"McGinty, Webster and Barry (2013)",mt,Age: 18 - 39,0.00,0.04,0.95,-0.09,0.09,1861,0.19
16,"McGinty, Webster and Barry (2013)",mt,Age: 40 - 59,0.05,0.09,0.57,-0.12,0.22,534,0.05
16,"McGinty, Webster and Barry (2013)",mt,Age: More than 60,-0.07,0.20,0.74,-0.46,0.33,86,0.01
16,"McGinty, Webster and Barry (2013)",mt,Party ID: Democrat,-0.01,0.04,0.81,-0.09,0.07,1504,0.15
16,"McGinty, Webster and Barry (2013)",mt,Party ID: Independent,0.08,0.10,0.42,-0.12,0.29,370,0.04
16,"McGinty, Webster and Barry (2013)",mt,Party ID: Republican,0.02,0.08,0.78,-0.14,0.18,607,0.06
16,"McGinty, Webster and Barry (2013)",mt,Race: White,-0.01,0.05,0.78,-0.10,0.08,1925,0.19
16,"McGinty, Webster and Barry (2013)",mt,Race: Nonwhite,0.09,0.08,0.23,-0.06,0.25,558,0.06
16,"McGinty, Webster and Barry (2013)",mt,Education: Less than College,0.01,0.06,0.82,-0.10,0.13,1218,0.12
16,"McGinty, Webster and Barry (2013)",mt,Education: College,0.00,0.06,0.98,-0.12,0.12,960,0.10
16,"McGinty, Webster and Barry (2013)",mt,Education: Graduate School,-0.05,0.10,0.66,-0.25,0.16,303,0.03
16,"McGinty, Webster and Barry (2013)",mt,Gender: Male,-0.04,0.06,0.47,-0.16,0.07,1149,0.12
16,"McGinty, Webster and Barry (2013)",mt,Gender: Female,0.04,0.05,0.40,-0.06,0.14,1334,0.13
16,"McGinty, Webster and Barry (2013)",mt,Ideology: Liberal,-0.05,0.05,0.26,-0.15,0.04,1193,0.12
16,"McGinty, Webster and Barry (2013)",mt,Ideology: Moderate,0.08,0.07,0.27,-0.06,0.22,784,0.08
16,"McGinty, Webster and Barry (2013)",mt,Ideology: Conservative,0.03,0.09,0.78,-0.15,0.20,504,0.05
17,Murtagh et al. (2012),original,Age: 18 - 39,-0.36,0.24,0.13,-0.83,0.11,80,0.15
17,Murtagh et al. (2012),original,Age: 40 - 59,-0.40,0.25,0.11,-0.89,0.09,110,0.20
17,Murtagh et al. (2012),original,Age: More than 60,-0.65,0.31,0.04,-1.26,-0.04,81,0.15
17,Murtagh et al. (2012),original,Race: White,-0.53,0.19,0.01,-0.89,-0.16,197,0.36
17,Murtagh et al. (2012),original,Race: Nonwhite,-0.22,0.25,0.37,-0.72,0.27,74,0.14
17,Murtagh et al. (2012),original,Education: Less than College,-0.34,0.18,0.06,-0.69,0.01,193,0.36
17,Murtagh et al. (2012),original,Education: College,-0.61,0.32,0.06,-1.25,0.04,49,0.09
17,Murtagh et al. (2012),original,Education: Graduate School,-0.78,0.55,0.16,-1.90,0.34,29,0.05
17,Murtagh et al. (2012),original,Gender: Male,-0.50,0.19,0.01,-0.88,-0.12,126,0.23
17,Murtagh et al. (2012),original,Gender: Female,-0.37,0.23,0.11,-0.81,0.08,145,0.27
17,Murtagh et al. (2012),mt,Age: 18 - 39,-0.39,0.11,0.00,-0.60,-0.18,295,0.40
17,Murtagh et al. (2012),mt,Age: 40 - 59,-0.42,0.22,0.06,-0.86,0.01,68,0.09
17,Murtagh et al. (2012),mt,Age: More than 60,-1.55,1.15,0.25,-4.75,1.66,6,0.01
17,Murtagh et al. (2012),mt,Race: White,-0.51,0.11,0.00,-0.73,-0.30,286,0.39
17,Murtagh et al. (2012),mt,Race: Nonwhite,-0.06,0.19,0.74,-0.45,0.32,83,0.11
17,Murtagh et al. (2012),mt,Education: Less than College,-0.49,0.13,0.00,-0.73,-0.24,196,0.27
17,Murtagh et al. (2012),mt,Education: College,-0.22,0.16,0.17,-0.53,0.10,138,0.19
17,Murtagh et al. (2012),mt,Education: Graduate School,-0.89,0.30,0.01,-1.51,-0.27,35,0.05
17,Murtagh et al. (2012),mt,Gender: Male,-0.47,0.13,0.00,-0.73,-0.21,202,0.27
17,Murtagh et al. (2012),mt,Gender: Female,-0.34,0.14,0.01,-0.61,-0.07,167,0.23
18,Nicholson (2012),original,Age: 18 - 39,0.28,0.20,0.16,-0.11,0.67,182,0.08
18,Nicholson (2012),original,Age: 40 - 59,0.09,0.12,0.44,-0.14,0.33,363,0.16
18,Nicholson (2012),original,Age: More than 60,0.39,0.11,0.00,0.17,0.61,233,0.10
18,Nicholson (2012),original,Party ID: Democrat,0.19,0.12,0.13,-0.06,0.43,427,0.27
18,Nicholson (2012),original,Party ID: Republican,0.28,0.12,0.02,0.05,0.51,354,0.23
18,Nicholson (2012),original,Race: White,0.23,0.09,0.01,0.05,0.41,616,0.26
18,Nicholson (2012),original,Race: Nonwhite,0.28,0.19,0.14,-0.10,0.66,163,0.07
18,Nicholson (2012),original,Education: Less than College,0.19,0.11,0.08,-0.02,0.40,525,0.22
18,Nicholson (2012),original,Education: College,0.33,0.17,0.05,-0.01,0.66,178,0.08
18,Nicholson (2012),original,Education: Graduate School,0.25,0.23,0.30,-0.22,0.71,75,0.03
18,Nicholson (2012),original,Gender: Male,0.11,0.12,0.37,-0.13,0.34,412,0.18
18,Nicholson (2012),original,Gender: Female,0.36,0.12,0.00,0.12,0.60,367,0.16
18,Nicholson (2012),mt,Age: 18 - 39,0.12,0.07,0.10,-0.02,0.26,817,0.25
18,Nicholson (2012),mt,Age: 40 - 59,0.07,0.14,0.62,-0.21,0.34,233,0.07
18,Nicholson (2012),mt,Age: More than 60,0.05,0.28,0.86,-0.52,0.62,46,0.01
18,Nicholson (2012),mt,Party ID: Democrat,0.05,0.07,0.44,-0.08,0.19,736,0.33
18,Nicholson (2012),mt,Party ID: Republican,0.22,0.13,0.08,-0.03,0.47,363,0.17
18,Nicholson (2012),mt,Race: White,0.12,0.07,0.09,-0.02,0.27,753,0.23
18,Nicholson (2012),mt,Race: Nonwhite,0.07,0.12,0.55,-0.16,0.30,344,0.10
18,Nicholson (2012),mt,Education: Less than College,0.14,0.10,0.14,-0.05,0.33,460,0.14
18,Nicholson (2012),mt,Education: College,0.08,0.09,0.40,-0.11,0.26,481,0.15
