study,study_label,covariate,group,sample,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,nobs,significant
berganS20,Bergan (2012),age,age_3_18 - 39,mt,(Intercept),1.7816094159520526,0.05980477688904808,29.790419906713417,5.081298351497613e-111,1.664096661210339,1.8991221706937662,478,480,1
berganS20,Bergan (2012),age,age_3_18 - 39,mt,Z,0.37258207762596884,0.08704617172373086,4.280281030721011,2.256329025814447e-5,0.20154163635899214,0.5436225188929455,478,480,1
berganS20,Bergan (2012),age,age_3_18 - 39,original,(Intercept),1.9093820110114823,0.17745426925361865,10.75985389950006,5.982192087956804e-20,1.5584784002320395,2.260285621790925,137,139,1
berganS20,Bergan (2012),age,age_3_18 - 39,original,Z,-0.21889940109392905,0.21924123569821555,-0.9984408288741948,0.3198258787729765,-0.6524338635885917,0.21463506140073355,137,139,0
berganS20,Bergan (2012),age,age_3_40 - 59,mt,(Intercept),1.6522930182185587,0.1565390617578119,10.55514834230251,2.3020706057346832e-17,1.3412532368650882,1.963332799572029,89,91,1
berganS20,Bergan (2012),age,age_3_40 - 59,mt,Z,-0.15426157158759343,0.20611744973815316,-0.748415875432011,0.4561826060167705,-0.5638125538138602,0.2552894106386734,89,91,0
berganS20,Bergan (2012),age,age_3_40 - 59,original,(Intercept),1.7477797518368836,0.11999867988857157,14.564991493738411,3.001494655014176e-29,1.510410502116877,1.9851490015568902,132,134,1
berganS20,Bergan (2012),age,age_3_40 - 59,original,Z,-0.2040850238597895,0.17468232763587246,-1.1683209550837181,0.244783089123661,-0.5496239338609183,0.1414538861413394,132,134,0
berganS20,Bergan (2012),age,age_3_More than 60,mt,(Intercept),1.0611056080302668,0.45475954629868554,2.3333333333333344,0.03505872175902553,0.08574338692530581,2.0364678291352276,14,16,1
berganS20,Bergan (2012),age,age_3_More than 60,mt,Z,0.15158651543289536,0.5284157894578515,0.28686976895300836,0.7784139304108547,-0.9817526354818816,1.2849256663476725,14,16,0
berganS20,Bergan (2012),age,age_3_More than 60,original,(Intercept),1.410062383404978,0.1510150775685684,9.337229143657785,6.114395145448398e-16,1.1110882052427886,1.7090365615671672,121,123,1
berganS20,Bergan (2012),age,age_3_More than 60,original,Z,0.1203144437216995,0.23324451486334413,0.515829681106073,0.6069146447598318,-0.3414545946078942,0.5820834820512932,121,123,0
berganS20,Bergan (2012),educ,educ_3_College,mt,(Intercept),1.9313244929228146,0.08596822053172617,22.465563216003385,5.608524208116969e-59,1.7619020832470933,2.100746902598536,221,223,1
berganS20,Bergan (2012),educ,educ_3_College,mt,Z,0.035345776867444716,0.12783450445532937,0.2764963733230255,0.7824252543476852,-0.21658487437281015,0.2872764281076996,221,223,0
berganS20,Bergan (2012),educ,educ_3_College,original,(Intercept),1.435685807604576,0.18045224969461532,7.956042720632353,3.853422294636625e-11,1.075190997201302,1.79618061800785,64,66,1
berganS20,Bergan (2012),educ,educ_3_College,original,Z,0.18489191253878143,0.2718212590497285,0.6801966600594558,0.49883319447786467,-0.3581334773388326,0.7279173024163955,64,66,0
berganS20,Bergan (2012),educ,educ_3_Graduate School,mt,(Intercept),1.4597220004649172,0.14922482114054006,9.782032166687268,2.719529048485676e-13,1.1601406714148856,1.7593033295149487,51,53,1
berganS20,Bergan (2012),educ,educ_3_Graduate School,mt,Z,0.7557732250927827,0.25532371746448107,2.960058832755797,0.0046574067822363575,0.2431894737343846,1.2683569764511806,51,53,1
berganS20,Bergan (2012),educ,educ_3_Graduate School,original,(Intercept),2.222820246281256,0.2715591387791442,8.185400264098822,1.8547797362963528e-10,1.6758720645846172,2.7697684279778945,45,47,1
berganS20,Bergan (2012),educ,educ_3_Graduate School,original,Z,-0.39109283287629154,0.33124104777036256,-1.1806895175244767,0.24392928190837462,-1.0582465497270213,0.2760608839744381,45,47,0
berganS20,Bergan (2012),educ,educ_3_Less than College,mt,(Intercept),1.6794190262433903,0.07973943572883191,21.061335722948336,1.100631212974868e-61,1.5225180601450508,1.83631999234173,309,311,1
berganS20,Bergan (2012),educ,educ_3_Less than College,mt,Z,0.31885352940030826,0.11255017934336019,2.8329899717669242,0.0049146249248971175,0.09739181836478056,0.540315240435836,309,311,1
berganS20,Bergan (2012),educ,educ_3_Less than College,original,(Intercept),1.7436209239397538,0.10858567239410519,16.057559763606623,1.2827342594243049e-41,1.529876315829091,1.9573655320504166,281,283,1
berganS20,Bergan (2012),educ,educ_3_Less than College,original,Z,-0.1909168337531664,0.1465272163315111,-1.302944521386565,0.19366039359987675,-0.4793471739793912,0.09751350647305843,281,283,0
berganS20,Bergan (2012),female,female_0,mt,(Intercept),1.8816287464057437,0.07674038662463423,24.519406653624117,6.764141815914563e-76,1.7306581452855265,2.0325993475259607,325,327,1
berganS20,Bergan (2012),female,female_0,mt,Z,0.2053297916471385,0.10894682059901502,1.884679061933037,0.06036532075615399,-0.009000207449971903,0.41965979074424886,325,327,0
berganS20,Bergan (2012),female,female_0,original,(Intercept),1.710355898181578,0.12155436119861572,14.070707799508027,8.577898707550704e-32,1.4706777577621406,1.9500340386010155,202,204,1
berganS20,Bergan (2012),female,female_0,original,Z,-0.03958233454366623,0.16396300438371414,-0.24141015647062514,0.8094821182260987,-0.36288087851001977,0.2837162094226873,202,204,0
berganS20,Bergan (2012),female,female_1,mt,(Intercept),1.6031422389721353,0.07882908130164451,20.336939267852294,1.593478895285049e-55,1.447911902797392,1.7583725751468786,258,260,1
berganS20,Bergan (2012),female,female_1,mt,Z,0.29168920393905595,0.1182968153038808,2.465740123178844,0.014324290688765557,0.058738951255597804,0.5246394566225141,258,260,1
berganS20,Bergan (2012),female,female_1,original,(Intercept),1.7481031725719114,0.1372596603500739,12.735738731346572,2.9138482274525142e-27,1.477354624279462,2.018851720864361,190,192,1
berganS20,Bergan (2012),female,female_1,original,Z,-0.22065544758743738,0.18101512814290552,-1.2189889864522103,0.2243596145488374,-0.5777128892178981,0.13640199404302333,190,192,0
berganS20,Bergan (2012),ideo,ideo_3_Conservative,mt,(Intercept),2.063908710124804,0.13656078005482672,15.113480673559286,1.0523117442351374e-28,1.7933044080479421,2.3345130122016657,111,113,1
berganS20,Bergan (2012),ideo,ideo_3_Conservative,mt,Z,-0.4834329098736343,0.1815738639337805,-2.662458678799395,0.008909834841806675,-0.843233642598455,-0.12363217714881364,111,113,1
berganS20,Bergan (2012),ideo,ideo_3_Conservative,original,(Intercept),2.0328992163991,0.16777332662292796,12.116939309238703,7.23002867881795e-24,1.7013399799826956,2.364458452815504,147,149,1
berganS20,Bergan (2012),ideo,ideo_3_Conservative,original,Z,-0.7198530377523384,0.21563572566337727,-3.338282817180676,0.0010680805869616406,-1.1459995413961181,-0.29370653410855874,147,149,1
berganS20,Bergan (2012),ideo,ideo_3_Liberal,mt,(Intercept),1.6417440150977904,0.06981402824225161,23.515961711892786,8.015709015812496e-73,1.5044134012434531,1.7790746289521278,334,336,1
