study,study_label,covariate,group,sample,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,nobs,significant
berganS20,Bergan (2012),ideo,ideo_3_Liberal,mt,Z,0.5006787363537963,0.10424312910812925,4.802990284706944,2.364153328412074e-6,0.2956229148956614,0.7057345578119313,334,336,1
berganS20,Bergan (2012),ideo,ideo_3_Liberal,original,(Intercept),1.4920358342014561,0.14624286332407105,10.2024522789542,1.2215120158728868e-17,1.2022458377790288,1.7818258306238834,111,113,1
berganS20,Bergan (2012),ideo,ideo_3_Liberal,original,Z,0.4384422042334805,0.21260361161584174,2.0622519104976993,0.0415182671625912,0.017153955021465384,0.8597304534454957,111,113,1
berganS20,Bergan (2012),ideo,ideo_3_Moderate,mt,(Intercept),1.8000898707656308,0.11692716826006949,15.394966777625791,1.3649358694832525e-31,1.5688592891004116,2.03132045243085,136,138,1
berganS20,Bergan (2012),ideo,ideo_3_Moderate,mt,Z,0.24837655400322362,0.16669672755144824,1.4899905814081817,0.13854224829717046,-0.08127635598325,0.5780294639896972,136,138,0
berganS20,Bergan (2012),ideo,ideo_3_Moderate,original,(Intercept),1.6073155248635949,0.12360477147419657,13.003668917418242,2.1233860100897076e-25,1.3628130695541911,1.8518179801729986,132,134,1
berganS20,Bergan (2012),ideo,ideo_3_Moderate,original,Z,-0.012536342344986804,0.17847412334612317,-0.07024179253523768,0.944107515194988,-0.3655757990493754,0.34050311435940184,132,134,0
berganS20,Bergan (2012),pid,pid_3_Democrat,mt,(Intercept),1.6425882730506318,0.06552876971289832,25.06667346643796,5.391267139672258e-82,1.513736150417945,1.7714403956833187,373,375,1
berganS20,Bergan (2012),pid,pid_3_Democrat,mt,Z,0.5122221936406313,0.09816259564794334,5.218099524157837,3.006388411462564e-7,0.31920073348216305,0.7052436537990995,373,375,1
berganS20,Bergan (2012),pid,pid_3_Democrat,original,(Intercept),1.6754737555444406,0.13096677011500701,12.793121141134822,6.699192060899833e-28,1.417251697085361,1.93369581400352,204,206,1
berganS20,Bergan (2012),pid,pid_3_Democrat,original,Z,0.1649433817013098,0.1754699800577163,0.9400091209166146,0.348324587006555,-0.1810239152587395,0.5109106786613591,204,206,0
berganS20,Bergan (2012),pid,pid_3_Independent,mt,(Intercept),1.6715486026113853,0.1474895825833576,11.333333333333329,1.842511715176776e-18,1.378144838993985,1.9649523662287856,82,84,1
berganS20,Bergan (2012),pid,pid_3_Independent,mt,Z,0.095885662435989,0.20435653369497797,0.4692077160552532,0.6401663562471365,-0.3106445823155359,0.5024159071875138,82,84,0
berganS20,Bergan (2012),pid,pid_3_Independent,original,(Intercept),0.8751221524199869,0.29575829755231436,2.9589098925117847,0.011944822458870975,0.23072017923246668,1.5195241256075072,12,14,1
berganS20,Bergan (2012),pid,pid_3_Independent,original,Z,0.8967080987471204,0.44378270713358137,2.020601714156486,0.06621471766256816,-0.07021135713998095,1.8636275546342218,12,14,0
berganS20,Bergan (2012),pid,pid_3_Republican,mt,(Intercept),2.1470614644921557,0.12801777791616248,16.771588285950752,6.75191648337775e-34,1.8937180454639069,2.4004048835204044,126,128,1
berganS20,Bergan (2012),pid,pid_3_Republican,mt,Z,-0.39137286783653313,0.17760292508762301,-2.203639763497384,0.029366840193725843,-0.7428438354124804,-0.039901900260585876,126,128,1
berganS20,Bergan (2012),pid,pid_3_Republican,original,(Intercept),1.8497897663356013,0.12301912723472026,15.036602908149446,2.768671974238181e-33,1.606987967986171,2.0925915646850317,174,176,1
berganS20,Bergan (2012),pid,pid_3_Republican,original,Z,-0.541767931412616,0.1691660663617591,-3.2025804173636896,0.0016197596885700648,-0.8756495484880273,-0.20788631433720473,174,176,1
berganS20,Bergan (2012),white,white_0,mt,(Intercept),1.809988243974869,0.1090326443802894,16.600425076932954,2.670574379980098e-33,1.5941820988921156,2.025794389057622,124,126,1
berganS20,Bergan (2012),white,white_0,mt,Z,0.3584697056075653,0.17253017401351486,2.0777218110235323,0.03979846741724014,0.01698416266824232,0.6999552485468883,124,126,1
berganS20,Bergan (2012),white,white_0,original,(Intercept),1.8479894121738634,0.19910678863450396,9.281398313174433,1.8634528296101976e-15,1.4533662301144432,2.2426125942332837,109,111,1
berganS20,Bergan (2012),white,white_0,original,Z,-0.05639546173924871,0.2687341114662737,-0.20985598527683144,0.8341718257325023,-0.5890177340486232,0.47622681057012584,109,111,0
berganS20,Bergan (2012),white,white_1,mt,(Intercept),1.7363546313222562,0.06454272933747915,26.902404796723975,2.161859958475499e-96,1.6095187607526074,1.863190501891905,459,461,1
berganS20,Bergan (2012),white,white_1,mt,Z,0.22860916209004706,0.09137042439612668,2.5020039427521596,0.012696191637934198,0.04905296046113031,0.40816536371896384,459,461,1
berganS20,Bergan (2012),white,white_1,original,(Intercept),1.672132268373502,0.09589819022071498,17.436536232070672,9.531978833066123e-47,1.4833680042531752,1.860896532493829,283,285,1
berganS20,Bergan (2012),white,white_1,original,Z,-0.16506550008095783,0.12671850372016014,-1.3026156025759394,0.19376503748714272,-0.414495912168109,0.08436491200619331,283,285,0
brandtS1,Brandt (2013),age,age_3_18 - 39,mt,(Intercept),4.127177110252802,0.037312076897672596,110.61236611329566,0,4.053973437639823,4.200380782865781,1208,1210,1
brandtS1,Brandt (2013),age,age_3_18 - 39,mt,Z,-0.7850264413656078,0.05527216805271824,-14.20292470917469,1.87279919866792e-42,-0.8934665506052287,-0.676586332125987,1208,1210,1
brandtS1,Brandt (2013),age,age_3_18 - 39,original,(Intercept),3.9003471623378663,0.14890232064265796,26.193998491790353,4.9701869092014205e-58,3.6061461174581098,4.194548207217623,151,153,1
brandtS1,Brandt (2013),age,age_3_18 - 39,original,Z,-0.44355540685259426,0.19078415058302464,-2.324906998286368,0.021408913309193908,-0.8205065262560529,-0.06660428744913555,151,153,1
brandtS1,Brandt (2013),age,age_3_40 - 59,mt,(Intercept),4.414924015993313,0.062000864211604376,71.2074593174299,2.4265759778588025e-193,4.292925163201363,4.536922868785264,308,310,1
brandtS1,Brandt (2013),age,age_3_40 - 59,mt,Z,-0.7962247390288842,0.10016254683856557,-7.949326012168791,3.5798462278748155e-14,-0.9933141822553533,-0.5991352958024152,308,310,1
brandtS1,Brandt (2013),age,age_3_40 - 59,original,(Intercept),4.150974160782092,0.09942119205144885,41.75140204146849,1.4999657995705e-119,3.9552315331795396,4.346716788384645,269,271,1
brandtS1,Brandt (2013),age,age_3_40 - 59,original,Z,-0.3658724611504097,0.14252564401676462,-2.5670640794113786,0.010797585806570273,-0.6464800809640066,-0.08526484133681284,269,271,1
brandtS1,Brandt (2013),age,age_3_More than 60,mt,(Intercept),4.531013087441591,0.14744367442308243,30.730467788262448,3.9508138309658265e-34,4.234863751657491,4.8271624232256904,50,52,1
brandtS1,Brandt (2013),age,age_3_More than 60,mt,Z,-0.5143878441465483,0.24754406463998457,-2.07796476516069,0.0428666139244228,-1.011594730825649,-0.017180957467447522,50,52,1
brandtS1,Brandt (2013),age,age_3_More than 60,original,(Intercept),4.2570646336888585,0.10157066025408379,41.91234578016536,1.0655072835478283e-100,4.056771705496846,4.457357561880871,199,201,1
brandtS1,Brandt (2013),age,age_3_More than 60,original,Z,-0.4683661676627634,0.17424215512323465,-2.6880186791279432,0.007796619643673857,-0.8119641257425549,-0.12476820958297191,199,201,1
brandtS1,Brandt (2013),educ,educ_3_College,mt,(Intercept),4.188166712113642,0.04975160263295902,84.18154371853542,0,4.090452854011772,4.285880570215511,584,586,1
brandtS1,Brandt (2013),educ,educ_3_College,mt,Z,-0.7753880684688951,0.07714686859395756,-10.050804168733642,4.982683491984869e-22,-0.9269071708063055,-0.6238689661314847,584,586,1
brandtS1,Brandt (2013),educ,educ_3_College,original,(Intercept),4.292051462586562,0.1867805095377961,22.97911850228699,2.190562376739069e-43,3.9218200893820363,4.662282835791087,108,110,1
brandtS1,Brandt (2013),educ,educ_3_College,original,Z,-0.5969140777332985,0.2307541215856344,-2.5867970358734405,0.011017036961975651,-1.0543087787043102,-0.13951937676228693,108,110,1
brandtS1,Brandt (2013),educ,educ_3_Graduate School,mt,(Intercept),4.224546396368483,0.09604355427869453,43.985735722669105,9.971499804400092e-89,4.034803680716814,4.414289112020152,153,155,1
brandtS1,Brandt (2013),educ,educ_3_Graduate School,mt,Z,-0.579992072143566,0.15239747248199395,-3.805785376211493,2.03983678447378e-4,-0.8810670428102714,-0.2789171014768606,153,155,1
brandtS1,Brandt (2013),educ,educ_3_Graduate School,original,(Intercept),3.7924876419327456,0.2693463720343186,14.080336829075716,3.9811952366868015e-21,3.254241866715692,4.3307334171497995,63,65,1
brandtS1,Brandt (2013),educ,educ_3_Graduate School,original,Z,0.15397494764113212,0.3005101444923484,0.512378535178045,0.6101778347061121,-0.4465466575366937,0.754496552818958,63,65,0
brandtS1,Brandt (2013),educ,educ_3_Less than College,mt,(Intercept),4.1950615759819305,0.046246106862327746,90.71166981623794,0,4.104288343837349,4.285834808126512,829,831,1
brandtS1,Brandt (2013),educ,educ_3_Less than College,mt,Z,-0.8098971739482571,0.06738585549367554,-12.018800800477624,8.678265776165098e-31,-0.9421641325962169,-0.6776302153002973,829,831,1
brandtS1,Brandt (2013),educ,educ_3_Less than College,original,(Intercept),4.070959140038071,0.08339815989917741,48.813536713035134,1.8760038514620153e-181,3.907058961094357,4.234859318981785,448,450,1
brandtS1,Brandt (2013),educ,educ_3_Less than College,original,Z,-0.42775085728599693,0.1203046317181899,-3.555564330124802,4.173035351044383e-4,-0.6641823407888291,-0.19131937378316477,448,450,1
brandtS1,Brandt (2013),female,female_0,mt,(Intercept),4.086382874335986,0.04614230360092354,88.56044357209329,0,3.9958045273313414,4.176961221340631,777,779,1
brandtS1,Brandt (2013),female,female_0,mt,Z,-0.7135347916261149,0.0674205011602706,-10.583350454929354,1.518724828441626e-24,-0.845882703905029,-0.5811868793472008,777,779,1
brandtS1,Brandt (2013),female,female_0,original,(Intercept),3.949766506807907,0.1161921666523004,33.99339749492234,2.0180458448636899e-106,3.721138563379742,4.178394450236072,309,311,1
brandtS1,Brandt (2013),female,female_0,original,Z,-0.302050964965421,0.15601915704875033,-1.9359863921777312,0.05378121459961646,-0.6090453178480346,0.004943387917192565,309,311,0
brandtS1,Brandt (2013),female,female_1,mt,(Intercept),4.299204722257143,0.04376527125821507,98.23324747359243,0,4.213294913670827,4.385114530843458,791,793,1
brandtS1,Brandt (2013),female,female_1,mt,Z,-0.8303602927337691,0.06842153349922862,-12.1359497553958,3.334202943662794e-31,-0.9646695447299514,-0.6960510407375868,791,793,1
brandtS1,Brandt (2013),female,female_1,original,(Intercept),4.202539940571154,0.08977567355589043,46.81156680996479,4.006000204158985e-143,4.025897639731956,4.379182241410352,312,314,1
brandtS1,Brandt (2013),female,female_1,original,Z,-0.4910764212992479,0.12780608293886833,-3.84235562194749,1.4764352519096907e-4,-0.7425472224346159,-0.23960562016387987,312,314,1
brandtS1,Brandt (2013),pid,pid_3_Democrat,mt,(Intercept),4.102046991076247,0.04249171258573579,96.53757736404533,0,4.018666499187352,4.185427482965142,1027,1029,1
brandtS1,Brandt (2013),pid,pid_3_Democrat,mt,Z,-0.7675620879612867,0.06039827261823462,-12.708345035178288,1.8020861711621513e-34,-0.8860802029934052,-0.6490439729291682,1027,1029,1
brandtS1,Brandt (2013),pid,pid_3_Democrat,original,(Intercept),4.02916869547978,0.09401414556417675,42.857047429414266,4.380204922626541e-135,3.8442091590623204,4.214128231897239,322,324,1
brandtS1,Brandt (2013),pid,pid_3_Democrat,original,Z,-0.531383907428438,0.14044888648657217,-3.783468283169634,1.8438027115993003e-4,-0.8076972300568062,-0.2550705848000698,322,324,1
brandtS1,Brandt (2013),pid,pid_3_Independent,mt,(Intercept),4.266750584842216,0.08261581822414901,51.645685736185364,1.8480290473154673e-107,4.103692451624769,4.429808718059662,174,176,1
brandtS1,Brandt (2013),pid,pid_3_Independent,mt,Z,-0.7228607392929248,0.13804177362805858,-5.236536160717621,4.6795301660759133e-7,-0.9953126062313693,-0.4504088723544803,174,176,1
brandtS1,Brandt (2013),pid,pid_3_Independent,original,(Intercept),3.141319905047082,0.5092458039424733,6.168572977386652,2.2543621401206406e-6,2.090288222775104,4.1923515873190595,24,26,1
brandtS1,Brandt (2013),pid,pid_3_Independent,original,Z,0.4871030927813681,0.5391447923346327,0.9034736117399725,0.37525405180533267,-0.6256370686273208,1.599843254190057,24,26,0
brandtS1,Brandt (2013),pid,pid_3_Republican,mt,(Intercept),4.402476566775171,0.05393578447256548,81.62440965356677,1.6173569536121176e-236,4.296412677416373,4.508540456133969,365,367,1
brandtS1,Brandt (2013),pid,pid_3_Republican,mt,Z,-0.7803765428817366,0.09595437775910577,-8.132787279814144,6.62917541118277e-15,-0.9690693486999375,-0.5916837370635357,365,367,1
brandtS1,Brandt (2013),pid,pid_3_Republican,original,(Intercept),4.210234570248057,0.12036899231648356,34.97773379358514,7.368508432623263e-103,3.9732651437913913,4.447203996704722,273,275,1
brandtS1,Brandt (2013),pid,pid_3_Republican,original,Z,-0.32630112981267595,0.15415828998924933,-2.1166628783663306,0.03519323201456678,-0.629791263436484,-0.022810996188868005,273,275,1
brandtS1,Brandt (2013),white,white_0,mt,(Intercept),4.01631268977833,0.07691328951899758,52.21870907999977,7.196089144986765e-166,3.865034716510085,4.167590663046575,345,347,1
brandtS1,Brandt (2013),white,white_0,mt,Z,-0.6637290455466135,0.11271556672915413,-5.888530438226848,9.2471891547887e-9,-0.8854252257152737,-0.4420328653779533,345,347,1
brandtS1,Brandt (2013),white,white_0,original,(Intercept),3.7500978175298805,0.14105770752353874,26.58555766549722,2.141472441493048e-60,3.4715093793892295,4.028686255670531,159,161,1
brandtS1,Brandt (2013),white,white_0,original,Z,-0.38462998648502467,0.19827200736093414,-1.9399106893836238,0.054160220154592105,-0.7762164501206739,0.006956477150624529,159,161,0
brandtS1,Brandt (2013),white,white_1,mt,(Intercept),4.248758223541346,0.03432479679299509,123.78101607315038,0,4.181416212913029,4.316100234169663,1223,1225,1
brandtS1,Brandt (2013),white,white_1,mt,Z,-0.809944869232351,0.05267651833948836,-15.375823892012713,6.566564396629161e-49,-0.9132912249085042,-0.7065985135561977,1223,1225,1
brandtS1,Brandt (2013),white,white_1,original,(Intercept),4.228184376861238,0.08360980644965306,50.57043612949044,1.892048389730579e-190,4.063881741191338,4.392487012531138,462,464,1
brandtS1,Brandt (2013),white,white_1,original,Z,-0.4096788646052736,0.1126436880968778,-3.636944701712309,3.069537125102443e-4,-0.6310363300963561,-0.1883213991141911,462,464,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_18 - 39,mt,(Intercept),3.478101063884459,0.04162143894351441,83.56513258959367,0,3.3964248894714637,3.5597772382974546,992,994,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_18 - 39,mt,Z,-0.14066558319311098,0.06165604066801917,-2.2814566369986493,0.022732624997813214,-0.2616568237422455,-0.01967434264397641,992,994,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_18 - 39,original,(Intercept),3.255441073648856,0.19922356244530737,16.340642811979475,9.273236578946643e-32,2.860817538791606,3.6500646085061064,115,117,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_18 - 39,original,Z,-0.41774769151208224,0.28143614789858323,-1.4843426995121447,0.1404538517229838,-0.9752185356088311,0.1397231525846666,115,117,0
caprarielloS2,Caprariello and Reis (2013),age,age_3_40 - 59,mt,(Intercept),3.4414268094847524,0.08112336165158522,42.42214251753094,3.101174751831382e-113,3.281618702626842,3.601234916342663,239,241,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_40 - 59,mt,Z,-0.06519153477588255,0.12692072916251718,-0.5136397750473626,0.6079783840816382,-0.31521768058083877,0.18483461102907364,239,241,0
caprarielloS2,Caprariello and Reis (2013),age,age_3_40 - 59,original,(Intercept),3.314635423948775,0.12216163625830045,27.133194392880092,2.567611763512462e-59,3.073229066682088,3.5560417812154625,148,150,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_40 - 59,original,Z,-0.15142770178045514,0.23476103248014538,-0.6450291182513944,0.5199069498295541,-0.6153442586884558,0.31248885512754554,148,150,0
caprarielloS2,Caprariello and Reis (2013),age,age_3_More than 60,mt,(Intercept),3.4202932899694947,0.2114566340925396,16.17491598051577,2.2611435096471475e-20,2.9943977666423733,3.846188813296616,45,47,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_More than 60,mt,Z,-0.19441667121931858,0.288768800808969,-0.6732606523788982,0.50422472797110085,-0.7760268915317212,0.387193549093084,45,47,0
caprarielloS2,Caprariello and Reis (2013),age,age_3_More than 60,original,(Intercept),3.4780289558794637,0.13865978426837725,25.083184531339725,1.1712928147594231e-51,3.2037071556593966,3.752350756099531,130,132,1
caprarielloS2,Caprariello and Reis (2013),age,age_3_More than 60,original,Z,-0.07330238537072883,0.19954535847401839,-0.3673469828178093,0.7139575445554347,-0.4680790125736263,0.32147424183216855,130,132,0
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_College,mt,(Intercept),3.475133435547068,0.059144174563966534,58.75698597819786,1.5713597481226174e-211,3.358896130420985,3.5913707406731517,444,446,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_College,mt,Z,-0.07055058365589928,0.08780363640572333,-0.8035041206026925,0.422113361510589,-0.24311293914255022,0.10201177183075166,444,446,0
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_College,original,(Intercept),3.4131360616114095,0.21158187789502447,16.131514171099397,2.0744485002867004e-26,2.9918227172684135,3.8344494059544054,77,79,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_College,original,Z,-0.49174955287213223,0.30132183512066946,-1.6319745055156814,0.10676822632017982,-1.0917579814826595,0.10825887573839504,77,79,0
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Graduate School,mt,(Intercept),3.403454923003489,0.1188429425820206,28.638258604666927,9.37447673334769e-58,3.1683212504654996,3.6385885955414787,129,131,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Graduate School,mt,Z,-0.1821605153594941,0.17505344421018917,-1.0405994362542867,0.30000788070682405,-0.528508042047149,0.1641870113281608,129,131,0
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Graduate School,original,(Intercept),3.5535574149772553,0.1989594930974574,17.860708024806826,1.077367238912066e-25,3.15557917426535,3.9515356556891605,60,62,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Graduate School,original,Z,-0.7749894559513979,0.3621155830012993,-2.140171515205456,0.036415948091186236,-1.499328467946321,-0.05065044395647489,60,62,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Less than College,mt,(Intercept),3.476441457273042,0.050555201846776594,68.76525718974456,2.422661936e-314,3.3771841949565378,3.575698719589546,703,705,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Less than College,mt,Z,-0.14989659619853127,0.07525703437418414,-1.9917951517094483,0.04677998388349709,-0.2976520581325999,-0.002141134264462663,703,705,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Less than College,original,(Intercept),3.2822321766248947,0.11258835539289129,29.152501297058038,2.5986264412539714e-83,3.060514868070399,3.5039494851793904,256,258,1
caprarielloS2,Caprariello and Reis (2013),educ,educ_3_Less than College,original,Z,-0.08674867957816632,0.17637456477005906,-0.49184347919588783,0.6232514660887598,-0.4340785047792294,0.2605811456228967,256,258,0
caprarielloS2,Caprariello and Reis (2013),female,female_0,mt,(Intercept),3.40702669781446,0.051124711348703146,66.64148526094093,2.8753173118814826e-283,3.3066261943555637,3.5074272012733565,614,616,1
caprarielloS2,Caprariello and Reis (2013),female,female_0,mt,Z,-0.06183635141492646,0.07778869904907393,-0.7949271831364124,0.4269630242501723,-0.21460053026124307,0.09092782743139013,614,616,0
caprarielloS2,Caprariello and Reis (2013),female,female_0,original,(Intercept),3.3338109896792023,0.13114274930769984,25.421237600083337,3.711116659028958e-66,3.075293137526824,3.5923288418315806,211,213,1
caprarielloS2,Caprariello and Reis (2013),female,female_0,original,Z,-0.3069150579379351,0.1942620261158988,-1.5799024857015869,0.11562710132651753,-0.6898580876621316,0.07602797178626142,211,213,0
caprarielloS2,Caprariello and Reis (2013),female,female_1,mt,(Intercept),3.532582164017549,0.05208550679274388,67.82274727736122,1.0112555068888797e-300,3.430310026927592,3.634854301107506,664,666,1
caprarielloS2,Caprariello and Reis (2013),female,female_1,mt,Z,-0.1944545404392763,0.07628075895028422,-2.549195145869111,0.011020931923311293,-0.3442350977780456,-0.044673983100506964,664,666,1
caprarielloS2,Caprariello and Reis (2013),female,female_1,original,(Intercept),3.335491712958499,0.12944687566239516,25.76726317951197,5.949817432710655e-63,3.0801007238785254,3.590882702038473,184,186,1
caprarielloS2,Caprariello and Reis (2013),female,female_1,original,Z,-0.16952432473630047,0.21884315397375212,-0.7746384643891263,0.43954760766717893,-0.6012888556354727,0.2622402061628718,184,186,0
