covariate_class,slope,slope_se,ci_low,ci_high,n_comparisons,slope_display,ci_display
Age: 18 - 39,0.818101439843241,0.08493784287297541,0.5141867257720024,1.1220161539144797,27,0.82 (0.08),"[0.51, 1.12]"
Age: 40 - 59,0.8610526669020306,0.08419705915617835,0.547371967704714,1.1747333660993473,27,0.86 (0.08),"[0.55, 1.17]"
Age: More than 60,0.9499852299045566,0.13416692440077543,0.6123224702196837,1.2876479895894295,26,0.95 (0.13),"[0.61, 1.29]"
Less than College,0.9318712905365163,0.06363388372072278,0.6132477099577907,1.250494871115242,26,0.93 (0.06),"[0.61, 1.25]"
College,0.8744119886515468,0.1046882775878235,0.4634245518232415,1.2853994254798522,26,0.87 (0.10),"[0.46, 1.29]"
Graduate School,0.7172943027593007,0.1279204807325469,0.2834791336746835,1.1511094718439179,26,0.72 (0.13),"[0.28, 1.15]"
Men,0.8710172242744779,0.07491309107649913,0.4933337001753728,1.248700748373583,26,0.87 (0.07),"[0.49, 1.25]"
Women,0.9069329595632635,0.0677818104946968,0.6120114528292482,1.2018544662972788,26,0.91 (0.07),"[0.61, 1.20]"
Liberal,0.7132529452130822,0.10789781541894326,0.37402516615038733,1.0524807242757772,20,0.71 (0.11),"[0.37, 1.05]"
Moderate,1.008494917557303,0.11416118388128248,0.48752514977122663,1.5294646853433793,20,1.01 (0.11),"[0.49, 1.53]"
Conservative,0.7537391948822368,0.09033895507358056,0.5217383663102377,0.985740023454236,20,0.75 (0.09),"[0.52, 0.99]"
Democrat,0.882814133977961,0.07197265534059286,0.5026735153614054,1.2629547525945166,24,0.88 (0.07),"[0.50, 1.26]"
Independent,0.9372820767640798,0.1609361347550967,0.19455083746716995,1.6800133160609896,23,0.94 (0.16),"[0.19, 1.68]"
Republican,0.8551586100398854,0.08081738109757831,0.6281793222185219,1.0821378978612488,24,0.86 (0.08),"[0.63, 1.08]"
Nonwhite,0.9530482913321703,0.10707891474646518,0.44518697298555465,1.460909609678786,25,0.95 (0.11),"[0.45, 1.46]"
White,0.9199662990905662,0.05731659320631293,0.6608720576076,1.1790605405735324,27,0.92 (0.06),"[0.66, 1.18]"
