appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
1,Bergan (2012),original,Age: 18 - 39,-0.21889940109392905,0.21924123569821555,0.3198258787729765,-0.6524338635885917,0.21463506140073357,139,0.351010101010101,139,0.1755050505050505
1,Bergan (2012),original,Age: 40 - 59,-0.2040850238597895,0.17468232763587246,0.244783089123661,-0.5496239338609183,0.1414538861413394,134,0.3383838383838384,134,0.1691919191919192
1,Bergan (2012),original,Age: More than 60,0.1203144437216995,0.23324451486334413,0.6069146447598318,-0.3414545946078942,0.5820834820512932,123,0.3106060606060606,123,0.1553030303030303
1,Bergan (2012),original,Party ID: Democrat,0.1649433817013098,0.1754699800577163,0.348324587006555,-0.1810239152587395,0.5109106786613591,206,0.5202020202020202,206,0.2601010101010101
1,Bergan (2012),original,Party ID: Independent,0.8967080987471204,0.44378270713358137,0.06621471766256816,-0.07021135713998095,1.8636275546342216,14,0.03535353535353535,14,0.017676767676767676
1,Bergan (2012),original,Party ID: Republican,-0.541767931412616,0.1691660663617591,0.00161975968857006,-0.8756495484880273,-0.20788631433720473,176,0.4444444444444444,176,0.2222222222222222
1,Bergan (2012),original,Race: White,-0.16506550008095783,0.12671850372016014,0.19376503748714272,-0.414495912168109,0.08436491200619331,285,0.7196969696969697,285,0.35984848484848486
1,Bergan (2012),original,Race: Nonwhite,-0.05639546173924871,0.2687341114662737,0.8341718257325023,-0.5890177340486232,0.47622681057012584,111,0.2803030303030303,111,0.14015151515151514
1,Bergan (2012),original,Education: Less than College,-0.1909168337531664,0.1465272163315111,0.19366039359987677,-0.4793471739793912,0.09751350647305844,283,0.7146464646464646,283,0.3573232323232323
1,Bergan (2012),original,Education: College,0.18489191253878143,0.2718212590497285,0.4988331944778646,-0.3581334773388326,0.7279173024163955,66,0.16666666666666666,66,0.08333333333333333
1,Bergan (2012),original,Education: Graduate School,-0.39109283287629154,0.33124104777036256,0.24392928190837465,-1.0582465497270213,0.2760608839744381,47,0.11868686868686869,47,0.059343434343434344
1,Bergan (2012),original,Gender: Male,-0.03958233454366623,0.16396300438371414,0.8094821182260987,-0.36288087851001977,0.2837162094226873,204,0.5151515151515151,204,0.25757575757575757
1,Bergan (2012),original,Gender: Female,-0.22065544758743735,0.18101512814290552,0.2243596145488374,-0.5777128892178981,0.13640199404302333,192,0.48484848484848486,192,0.24242424242424243
1,Bergan (2012),original,Ideology: Liberal,0.4384422042334805,0.21260361161584176,0.0415182671625912,0.01715395502146538,0.8597304534454957,113,0.28535353535353536,113,0.14267676767676768
1,Bergan (2012),original,Ideology: Moderate,-0.0125363423449868,0.17847412334612317,0.944107515194988,-0.3655757990493754,0.34050311435940184,134,0.3383838383838384,134,0.1691919191919192
1,Bergan (2012),original,Ideology: Conservative,-0.7198530377523384,0.21563572566337727,0.00106808058696164,-1.145999541396118,-0.29370653410855874,149,0.37626262626262624,149,0.18813131313131312
1,Bergan (2012),mt,Age: 18 - 39,0.3725820776259688,0.08704617172373086,2.256329025814447e-5,0.20154163635899217,0.5436225188929455,480,0.817717206132879,480,0.4088586030664395
1,Bergan (2012),mt,Age: 40 - 59,-0.15426157158759343,0.20611744973815316,0.4561826060167705,-0.5638125538138602,0.2552894106386734,91,0.15502555366269166,91,0.07751277683134583
1,Bergan (2012),mt,Age: More than 60,0.15158651543289536,0.5284157894578515,0.7784139304108547,-0.9817526354818816,1.2849256663476725,16,0.027257240204429302,16,0.013628620102214651
1,Bergan (2012),mt,Party ID: Democrat,0.5122221936406313,0.09816259564794334,3.006388411462564e-7,0.31920073348216305,0.7052436537990995,375,0.6388415672913118,375,0.3194207836456559
1,Bergan (2012),mt,Party ID: Independent,0.095885662435989,0.20435653369497797,0.6401663562471365,-0.3106445823155359,0.5024159071875138,84,0.14310051107325383,84,0.07155025553662692
1,Bergan (2012),mt,Party ID: Republican,-0.39137286783653313,0.177602925087623,0.02936684019372584,-0.7428438354124804,-0.03990190026058587,128,0.21805792163543442,128,0.10902896081771721
1,Bergan (2012),mt,Race: White,0.22860916209004703,0.09137042439612668,0.01269619163793419,0.04905296046113031,0.40816536371896384,461,0.7853492333901193,461,0.39267461669505965
1,Bergan (2012),mt,Race: Nonwhite,0.3584697056075653,0.17253017401351486,0.03979846741724014,0.01698416266824232,0.6999552485468883,126,0.21465076660988075,126,0.10732538330494037
1,Bergan (2012),mt,Education: Less than College,0.31885352940030826,0.1125501793433602,0.00491462492489711,0.09739181836478056,0.540315240435836,311,0.5298126064735945,311,0.26490630323679726
1,Bergan (2012),mt,Education: College,0.03534577686744471,0.12783450445532937,0.7824252543476852,-0.21658487437281015,0.2872764281076996,223,0.3798977853492334,223,0.1899488926746167
1,Bergan (2012),mt,Education: Graduate School,0.7557732250927827,0.25532371746448107,0.00465740678223635,0.2431894737343846,1.2683569764511806,53,0.09028960817717206,53,0.04514480408858603
1,Bergan (2012),mt,Gender: Male,0.2053297916471385,0.10894682059901502,0.06036532075615399,-0.0090002074499719,0.41965979074424886,327,0.5570698466780238,327,0.2785349233390119
1,Bergan (2012),mt,Gender: Female,0.29168920393905595,0.1182968153038808,0.01432429068876555,0.0587389512555978,0.5246394566225141,260,0.44293015332197616,260,0.22146507666098808
1,Bergan (2012),mt,Ideology: Liberal,0.5006787363537963,0.10424312910812925,2.364153328412074e-6,0.2956229148956614,0.7057345578119313,336,0.5724020442930153,336,0.28620102214650767
1,Bergan (2012),mt,Ideology: Moderate,0.2483765540032236,0.16669672755144824,0.13854224829717046,-0.08127635598325,0.5780294639896972,138,0.23509369676320271,138,0.11754684838160136
1,Bergan (2012),mt,Ideology: Conservative,-0.4834329098736343,0.1815738639337805,0.00890983484180667,-0.843233642598455,-0.12363217714881364,113,0.19250425894378195,113,0.09625212947189098
2,Brader (2005),original,Age: 18 - 39,0.08939095004900816,0.2288843495144682,0.6970225254406778,-0.3651280064921863,0.5439099065902027,95,0.3392857142857143,95,0.16964285714285715
2,Brader (2005),original,Age: 40 - 59,0.7209436724882035,0.33084694395346476,0.03156084588602648,0.06493529872885939,1.3769520462475475,107,0.3821428571428571,107,0.19107142857142856
2,Brader (2005),original,Age: More than 60,0.5535740346653428,0.30041370887186497,0.06927172704024874,-0.0447517208565168,1.1518997901872026,78,0.2785714285714286,78,0.1392857142857143
2,Brader (2005),original,Party ID: Democrat,0.5506024952379183,0.31116649191277435,0.07968976410854069,-0.0663153395815248,1.1675203300573611,108,0.38571428571428573,108,0.19285714285714287
2,Brader (2005),original,Party ID: Independent,0.4584384186207675,0.2517163726153907,0.07432397419455412,-0.04666743626962355,0.9635442735111586,54,0.19285714285714287,54,0.09642857142857143
2,Brader (2005),original,Party ID: Republican,0.5548038965805723,0.28183614784732186,0.05139192992358469,-0.00340810627873766,1.1130158994398822,118,0.42142857142857143,118,0.21071428571428572
2,Brader (2005),original,Race: White,0.4715490691198896,0.175099384902543,0.00751053065021746,0.12685998100053147,0.8162381572392479,280,1,280,0.5
2,Brader (2005),original,Education: Less than College,0.23313587786744383,0.203381794770074,0.25310647158108274,-0.1680269817271624,0.6342987374620501,193,0.6892857142857143,193,0.34464285714285714
2,Brader (2005),original,Education: College,0.8333549479483336,0.37963750398239193,0.03231571120519641,0.07284964156903506,1.593860254327632,58,0.20714285714285716,58,0.10357142857142858
2,Brader (2005),original,Education: Graduate School,1.108891288321025,0.5024546224766478,0.03600451345728341,0.0779395607768576,2.139843015865192,29,0.10357142857142858,29,0.05178571428571429
