study,study_label,covariate,group,estimate_mt,estimate_original,std.error_mt,std.error_original,conf.low_mt,conf.low_original,conf.high_mt,conf.high_original,p.value_mt,p.value_original,significant_mt,significant_original,group_label,est_diff_in_cates,std.error_diff_in_cates,li_diff_in_cates,ui_diff_in_cates,p_diff_in_cates,diff_in_cates_significant
berganS20,Bergan (2012),age,age_3_18 - 39,0.37258207762596884,-0.21889940109392905,0.08704617172373086,0.21924123569821555,0.20154163635899214,-0.6524338635885917,0.5436225188929455,0.21463506140073355,2.256329025814447e-5,0.3198258787729765,1,0,Age: 18 - 39,0.5914814787198979,0.235889286408344,0.12913847735954365,1.053824480080252,0.012160449028550766,TRUE
berganS20,Bergan (2012),age,age_3_40 - 59,-0.15426157158759343,-0.2040850238597895,0.20611744973815316,0.17468232763587246,-0.5638125538138602,-0.5496239338609183,0.2552894106386734,0.1414538861413394,0.4561826060167705,0.244783089123661,0,0,Age: 40 - 59,0.04982345227219606,0.2701820102724206,-0.4797332878617483,0.5793801924061405,0.8536941837095492,FALSE
berganS20,Bergan (2012),age,age_3_More than 60,0.15158651543289536,0.1203144437216995,0.5284157894578515,0.23324451486334413,-0.9817526354818816,-0.3414545946078942,1.2849256663476725,0.5820834820512932,0.7784139304108547,0.6069146447598318,0,0,Age: More than 60,0.031272071711195865,0.5776038869867491,-1.1008315467828325,1.1633756902052241,0.9568227997301625,FALSE
berganS20,Bergan (2012),educ,educ_3_College,0.035345776867444716,0.18489191253878143,0.12783450445532937,0.2718212590497285,-0.21658487437281015,-0.3581334773388326,0.2872764281076996,0.7279173024163955,0.7824252543476852,0.49883319447786467,0,0,College,-0.1495461356713367,0.30038052100747015,-0.7382919568459781,0.4391996855033048,0.618585797653176,FALSE
berganS20,Bergan (2012),educ,educ_3_Graduate School,0.7557732250927827,-0.39109283287629154,0.25532371746448107,0.33124104777036256,0.2431894737343846,-1.0582465497270213,1.2683569764511806,0.2760608839744381,0.0046574067822363575,0.24392928190837462,1,0,Graduate School,1.1468660579690741,0.41822342405452345,0.32714814682220816,1.9665839691159401,0.00610230457103261,TRUE
berganS20,Bergan (2012),educ,educ_3_Less than College,0.31885352940030826,-0.1909168337531664,0.11255017934336019,0.1465272163315111,0.09739181836478056,-0.4793471739793912,0.540315240435836,0.09751350647305843,0.0049146249248971175,0.19366039359987675,1,0,Less than College,0.5097703631534747,0.1847640874090092,0.14763275183181662,0.8719079744751328,0.005797253759375726,TRUE
berganS20,Bergan (2012),female,female_0,0.2053297916471385,-0.03958233454366623,0.10894682059901502,0.16396300438371414,-0.009000207449971903,-0.36288087851001977,0.41965979074424886,0.2837162094226873,0.06036532075615399,0.8094821182260987,0,0,Men,0.2449121261908047,0.1968585190566256,-0.14093057116018148,0.6307548235417909,0.2134619336298944,FALSE
berganS20,Bergan (2012),female,female_1,0.29168920393905595,-0.22065544758743738,0.1182968153038808,0.18101512814290552,0.058738951255597804,-0.5777128892178981,0.5246394566225141,0.13640199404302333,0.014324290688765557,0.2243596145488374,1,0,Women,0.5123446515264933,0.21624202442548715,0.08851028365253855,0.9361790194004481,0.017821251025703345,TRUE
berganS20,Bergan (2012),ideo,ideo_3_Conservative,-0.4834329098736343,-0.7198530377523384,0.1815738639337805,0.21563572566337727,-0.843233642598455,-1.1459995413961181,-0.12363217714881364,-0.29370653410855874,0.008909834841806675,0.0010680805869616406,1,1,Conservative,0.23642012787870414,0.281900397740433,-0.31610465169254454,0.7889449074499528,0.4016570636617643,FALSE
berganS20,Bergan (2012),ideo,ideo_3_Liberal,0.5006787363537963,0.4384422042334805,0.10424312910812925,0.21260361161584174,0.2956229148956614,0.017153955021465384,0.7057345578119313,0.8597304534454957,2.364153328412074e-6,0.0415182671625912,1,1,Liberal,0.062236532120315824,0.2367845553205567,-0.4018611963079753,0.526334260548607,0.7926736444853981,FALSE
berganS20,Bergan (2012),ideo,ideo_3_Moderate,0.24837655400322362,-0.012536342344986804,0.16669672755144824,0.17847412334612317,-0.08127635598325,-0.3655757990493754,0.5780294639896972,0.34050311435940184,0.13854224829717046,0.944107515194988,0,0,Moderate,0.2609128963482104,0.24421468358910967,-0.21774788348644453,0.7395736761828653,0.2853513270993685,FALSE
berganS20,Bergan (2012),pid,pid_3_Democrat,0.5122221936406313,0.1649433817013098,0.09816259564794334,0.1754699800577163,0.31920073348216305,-0.1810239152587395,0.7052436537990995,0.5109106786613591,3.006388411462564e-7,0.348324587006555,1,0,Democrat,0.3472788119393215,0.20106120731209434,-0.046801154392383415,0.7413587782710264,0.08412648750694508,FALSE
berganS20,Bergan (2012),pid,pid_3_Independent,0.095885662435989,0.8967080987471204,0.20435653369497797,0.44378270713358137,-0.3106445823155359,-0.07021135713998095,0.5024159071875138,1.8636275546342218,0.6401663562471365,0.06621471766256816,0,0,Independent,-0.8008224363111314,0.4885741335914507,-1.7584277381503748,0.15678286552811194,0.10119219045207291,FALSE
berganS20,Bergan (2012),pid,pid_3_Republican,-0.39137286783653313,-0.541767931412616,0.17760292508762301,0.1691660663617591,-0.7428438354124804,-0.8756495484880273,-0.039901900260585876,-0.20788631433720473,0.029366840193725843,0.0016197596885700648,1,1,Republican,0.1503950635760829,0.24527526782778347,-0.3303444613663727,0.6311345885185384,0.5397649427961282,FALSE
berganS20,Bergan (2012),white,white_0,0.3584697056075653,-0.05639546173924871,0.17253017401351486,0.2687341114662737,0.01698416266824232,-0.5890177340486232,0.6999552485468883,0.47622681057012584,0.03979846741724014,0.8341718257325023,1,0,Nonwhite,0.414865167346814,0.3193504088156164,-0.2110616339317941,1.0407919686254221,0.19391278152839211,FALSE
berganS20,Bergan (2012),white,white_1,0.22860916209004706,-0.16506550008095783,0.09137042439612668,0.12671850372016014,0.04905296046113031,-0.414495912168109,0.40816536371896384,0.08436491200619331,0.012696191637934198,0.19376503748714272,1,0,White,0.3936746621710049,0.15622462558573966,0.08747439602295515,0.6998749283190546,0.011737915334983692,TRUE
brandtS1,Brandt (2013),age,age_3_18 - 39,-0.7850264413656078,-0.44355540685259426,0.05527216805271824,0.19078415058302464,-0.8934665506052287,-0.8205065262560529,-0.676586332125987,-0.06660428744913555,1.87279919866792e-42,0.021408913309193908,1,1,Age: 18 - 39,-0.3414710345130136,0.19862931474214512,-0.730784491407618,0.047842422381590866,0.08558940124417785,FALSE
brandtS1,Brandt (2013),age,age_3_40 - 59,-0.7962247390288842,-0.3658724611504097,0.10016254683856557,0.14252564401676462,-0.9933141822553533,-0.6464800809640066,-0.5991352958024152,-0.08526484133681284,3.5798462278748155e-14,0.010797585806570273,1,1,Age: 40 - 59,-0.4303522778784745,0.17420130594109035,-0.7717868375230116,-0.08891771823393746,0.01349504121188979,TRUE
brandtS1,Brandt (2013),age,age_3_More than 60,-0.5143878441465483,-0.4683661676627634,0.24754406463998457,0.17424215512323465,-1.011594730825649,-0.8119641257425549,-0.017180957467447522,-0.12476820958297191,0.0428666139244228,0.007796619643673857,1,1,Age: More than 60,-0.04602167648378486,0.3027183386590152,-0.6393496202554546,0.5473062672878849,0.8791648179314184,FALSE
brandtS1,Brandt (2013),educ,educ_3_College,-0.7753880684688951,-0.5969140777332985,0.07714686859395756,0.2307541215856344,-0.9269071708063055,-1.0543087787043102,-0.6238689661314847,-0.13951937676228693,4.982683491984869e-22,0.011017036961975651,1,1,College,-0.17847399073559655,0.24330865985946967,-0.6553589640601571,0.298410982588964,0.46323576484440493,FALSE
